2020-02-26,1
2020-03-02,1
2020-03-04,1
2020-03-05,2
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,6
2020-03-17,6
2020-03-18,3
2020-03-19,10
2020-03-20,7
2020-03-21,8
2020-03-22,13
2020-03-23,15
2020-03-24,12
2020-03-25,14
2020-03-26,17
2020-03-27,18
2020-03-28,13
2020-03-29,11
2020-03-30,10
2020-03-31,12
2020-04-01,16
2020-04-02,11
2020-04-03,9
2020-04-04,10
2020-04-05,6
2020-04-06,5
2020-04-07,7
2020-04-08,7
2020-04-09,4
2020-04-10,5
2020-04-11,9
2020-04-12,4
2020-04-14,3
2020-04-16,3
2020-04-17,3
2020-04-18,2
2020-04-19,2
2020-04-22,1
2020-04-23,1
2020-04-25,1
2020-04-28,1
2020-04-29,1
2020-05-03,1
2020-05-09,1
2020-05-10,1
2020-06-16,2
2020-06-17,1
2020-06-19,2
2020-06-20,1
2020-06-21,3
2020-06-22,1
2020-06-23,1
2020-06-24,3
2020-06-25,1
2020-06-26,1
2020-06-27,3
2020-06-28,1
2020-06-29,1
2020-07-01,1
2020-07-02,1
2020-07-05,3
2020-07-06,3
2020-07-07,2
2020-07-08,2
2020-07-09,2
2020-07-11,1
2020-07-13,1
2020-07-14,3
2020-07-16,1
2020-07-17,2
2020-07-18,1
2020-07-19,1
2020-07-20,1
2020-07-24,1
2020-07-27,2
2020-07-28,1
2020-07-29,1
2020-07-31,1
2020-08-01,2
2020-08-02,3
2020-08-04,2
2020-08-11,1
2020-08-12,2
2020-08-15,1
2020-08-18,1
2020-08-20,2
2020-08-21,1
2020-08-22,2
2020-08-23,1
2020-08-25,1
2020-08-26,2
2020-08-28,6
2020-08-30,1
2020-08-31,8
2020-09-01,2
2020-09-02,1
2020-09-03,1
2020-09-04,2
2020-09-05,2
2020-09-06,1
2020-09-07,2
2020-09-09,2
2020-09-12,1
2020-09-14,4
2020-09-16,7
2020-09-18,1
2020-09-19,1
2020-09-23,3
2020-09-24,1
2020-09-25,1
2020-09-26,2
2020-09-27,2
2020-09-28,1
2020-09-30,6
2020-10-01,5
2020-10-02,2
2020-10-03,3
2020-10-04,2
2020-10-05,3
2020-10-06,2
2020-10-07,2
2020-10-08,3
2020-10-09,4
2020-10-11,3
2020-10-12,1
2020-10-13,2
2020-10-14,1
2020-10-15,5
2020-10-16,1
2020-10-17,2
2020-10-18,1
2020-10-19,1
2020-10-20,8
2020-10-21,2
2020-10-22,2
2020-10-23,10
2020-10-25,4
2020-10-26,1
2020-10-27,3
2020-10-28,3
2020-10-29,1
2020-10-30,4
2020-10-31,3
2020-11-01,3
2020-11-02,3
2020-11-04,2
2020-11-05,1
2020-11-07,5
2020-11-08,1
2020-11-09,3
2020-11-10,1
2020-11-11,2
2020-11-12,2
2020-11-13,3
2020-11-14,2
2020-11-15,1
2020-11-16,3
2020-11-17,1
2020-11-18,5
2020-11-19,1
2020-11-20,3
2020-11-21,5
2020-11-22,2
2020-11-23,8
2020-11-24,3
2020-11-25,1
2020-11-26,4
2020-11-27,3
2020-11-28,4
2020-11-29,3
2020-11-30,6
2020-12-01,2
2020-12-02,1
2020-12-03,3
2020-12-04,7
2020-12-06,2
2020-12-07,4
2020-12-08,2
2020-12-09,1
2020-12-10,3
2020-12-11,1
2020-12-12,4
2020-12-14,2
2020-12-16,4
2020-12-17,3
2020-12-18,2
2020-12-19,5
2020-12-20,3
2020-12-21,3
2020-12-22,2
2020-12-23,2
2020-12-24,4
2020-12-25,2
2020-12-26,3
2020-12-27,2
2020-12-28,4
2020-12-29,3
2020-12-30,6
2020-12-31,3
2021-01-01,4
2021-01-02,6
2021-01-03,3
2021-01-04,1
2021-01-05,1
2021-01-06,2
2021-01-07,9
2021-01-08,4
2021-01-09,5
2021-01-10,5
2021-01-11,6
2021-01-12,2
2021-01-13,6
2021-01-14,5
2021-01-15,5
2021-01-16,5
2021-01-17,2
2021-01-18,2
2021-01-19,2
2021-01-20,3
2021-01-21,4
2021-01-22,3
2021-01-23,5
2021-01-24,4
2021-01-25,2
2021-01-26,1
2021-01-27,2
2021-01-28,4
2021-01-29,2
2021-02-01,1
2021-02-02,3
2021-02-03,2
2021-02-04,3
2021-02-05,1
2021-02-06,2
2021-02-08,1
2021-02-09,2
2021-02-10,2
2021-02-11,1
2021-02-12,4
2021-02-14,4
2021-02-15,1
2021-02-16,1
2021-02-17,3
2021-02-19,6
2021-02-20,2
2021-02-22,4
2021-02-23,4
2021-02-24,2
2021-02-25,1
2021-02-27,2
2021-02-28,2
2021-03-01,2
2021-03-02,1
2021-03-03,5
2021-03-05,4
2021-03-06,1
2021-03-07,5
2021-03-08,2
2021-03-09,1
2021-03-10,6
2021-03-11,1
2021-03-12,3
2021-03-13,1
2021-03-14,5
2021-03-15,1
2021-03-16,2
2021-03-17,5
2021-03-18,1
2021-03-19,5
2021-03-20,4
2021-03-21,2
2021-03-22,4
2021-03-23,1
2021-03-24,3
